...1,ID,p_mmhr,name,datetime
1,1,0,ME,2021-05-31T18:00:00Z
2,2,0,MM,2021-05-31T18:00:00Z
3,3,0,MW,2021-05-31T18:00:00Z
4,4,0,UE,2021-05-31T18:00:00Z
5,5,0,UM,2021-05-31T18:00:00Z
6,6,0,UW,2021-05-31T18:00:00Z
1,1,0,ME,2021-05-31T19:00:00Z
2,2,0,MM,2021-05-31T19:00:00Z
3,3,0,MW,2021-05-31T19:00:00Z
4,4,0,UE,2021-05-31T19:00:00Z
5,5,0,UM,2021-05-31T19:00:00Z
6,6,0,UW,2021-05-31T19:00:00Z
1,1,0,ME,2021-05-31T20:00:00Z
2,2,0,MM,2021-05-31T20:00:00Z
3,3,0,MW,2021-05-31T20:00:00Z
4,4,0,UE,2021-05-31T20:00:00Z
5,5,0,UM,2021-05-31T20:00:00Z
6,6,0,UW,2021-05-31T20:00:00Z
1,1,0,ME,2021-05-31T21:00:00Z
2,2,0,MM,2021-05-31T21:00:00Z
3,3,0,MW,2021-05-31T21:00:00Z
4,4,0,UE,2021-05-31T21:00:00Z
5,5,0,UM,2021-05-31T21:00:00Z
6,6,0,UW,2021-05-31T21:00:00Z
1,1,0,ME,2021-05-31T22:00:00Z
2,2,0,MM,2021-05-31T22:00:00Z
3,3,0,MW,2021-05-31T22:00:00Z
4,4,0,UE,2021-05-31T22:00:00Z
5,5,0,UM,2021-05-31T22:00:00Z
6,6,0,UW,2021-05-31T22:00:00Z
1,1,0,ME,2021-05-31T23:00:00Z
2,2,0,MM,2021-05-31T23:00:00Z
3,3,0,MW,2021-05-31T23:00:00Z
4,4,0,UE,2021-05-31T23:00:00Z
5,5,0,UM,2021-05-31T23:00:00Z
6,6,0,UW,2021-05-31T23:00:00Z
1,1,0,ME,2021-06-01T00:00:00Z
2,2,0,MM,2021-06-01T00:00:00Z
3,3,0,MW,2021-06-01T00:00:00Z
4,4,0,UE,2021-06-01T00:00:00Z
5,5,0,UM,2021-06-01T00:00:00Z
6,6,0,UW,2021-06-01T00:00:00Z
1,1,0,ME,2021-06-01T01:00:00Z
2,2,0,MM,2021-06-01T01:00:00Z
3,3,0,MW,2021-06-01T01:00:00Z
4,4,0,UE,2021-06-01T01:00:00Z
5,5,0,UM,2021-06-01T01:00:00Z
6,6,0,UW,2021-06-01T01:00:00Z
1,1,0,ME,2021-06-01T10:00:00Z
2,2,0,MM,2021-06-01T10:00:00Z
3,3,0,MW,2021-06-01T10:00:00Z
4,4,0,UE,2021-06-01T10:00:00Z
5,5,0,UM,2021-06-01T10:00:00Z
6,6,0,UW,2021-06-01T10:00:00Z
1,1,0,ME,2021-06-01T11:00:00Z
2,2,0,MM,2021-06-01T11:00:00Z
3,3,0,MW,2021-06-01T11:00:00Z
4,4,0,UE,2021-06-01T11:00:00Z
5,5,0,UM,2021-06-01T11:00:00Z
6,6,0,UW,2021-06-01T11:00:00Z
1,1,0,ME,2021-06-01T12:00:00Z
2,2,0,MM,2021-06-01T12:00:00Z
3,3,0,MW,2021-06-01T12:00:00Z
4,4,0,UE,2021-06-01T12:00:00Z
5,5,0,UM,2021-06-01T12:00:00Z
6,6,0,UW,2021-06-01T12:00:00Z
1,1,1.17854613985863,ME,2021-06-01T13:00:00Z
2,2,0.53547414890101,MM,2021-06-01T13:00:00Z
3,3,1.48931957247416,MW,2021-06-01T13:00:00Z
4,4,0.755233697738802,UE,2021-06-01T13:00:00Z
5,5,1.01563711767788,UM,2021-06-01T13:00:00Z
6,6,2.03233971309083,UW,2021-06-01T13:00:00Z
1,1,0.333485652700797,ME,2021-06-01T14:00:00Z
2,2,0.138026611072271,MM,2021-06-01T14:00:00Z
3,3,0.273902551483323,MW,2021-06-01T14:00:00Z
4,4,0.145946765666985,UE,2021-06-01T14:00:00Z
5,5,0.205631529156613,UM,2021-06-01T14:00:00Z
6,6,0.310711597422952,UW,2021-06-01T14:00:00Z
1,1,0.541613218469207,ME,2021-06-01T15:00:00Z
2,2,0.392333875818126,MM,2021-06-01T15:00:00Z
3,3,0.43974265251476,MW,2021-06-01T15:00:00Z
4,4,0.335853977087062,UE,2021-06-01T15:00:00Z
5,5,0.36767091888645,UM,2021-06-01T15:00:00Z
6,6,0.478703768783354,UW,2021-06-01T15:00:00Z
1,1,1.54582080481356,ME,2021-06-01T16:00:00Z
2,2,1.43406424595296,MM,2021-06-01T16:00:00Z
3,3,1.64971288425396,MW,2021-06-01T16:00:00Z
4,4,1.56094287691859,UE,2021-06-01T16:00:00Z
5,5,1.60862755141909,UM,2021-06-01T16:00:00Z
6,6,1.64305218297644,UW,2021-06-01T16:00:00Z
1,1,0,ME,2021-06-01T17:00:00Z
2,2,0,MM,2021-06-01T17:00:00Z
3,3,0,MW,2021-06-01T17:00:00Z
