p_mmhr,site,datetime,source
0,me,2021-05-31T16:00:00Z,mrms
0,mm,2021-05-31T16:00:00Z,mrms
0,mw,2021-05-31T16:00:00Z,mrms
0,ue,2021-05-31T16:00:00Z,mrms
0,um,2021-05-31T16:00:00Z,mrms
0,uw,2021-05-31T16:00:00Z,mrms
0,me,2021-05-31T17:00:00Z,mrms
0,mm,2021-05-31T17:00:00Z,mrms
0,mw,2021-05-31T17:00:00Z,mrms
0,ue,2021-05-31T17:00:00Z,mrms
0,um,2021-05-31T17:00:00Z,mrms
0,uw,2021-05-31T17:00:00Z,mrms
0,me,2021-05-31T18:00:00Z,mrms
0,mm,2021-05-31T18:00:00Z,mrms
0,mw,2021-05-31T18:00:00Z,mrms
0,ue,2021-05-31T18:00:00Z,mrms
0,um,2021-05-31T18:00:00Z,mrms
0,uw,2021-05-31T18:00:00Z,mrms
0,me,2021-05-31T19:00:00Z,mrms
0,mm,2021-05-31T19:00:00Z,mrms
0,mw,2021-05-31T19:00:00Z,mrms
0,ue,2021-05-31T19:00:00Z,mrms
0,um,2021-05-31T19:00:00Z,mrms
0,uw,2021-05-31T19:00:00Z,mrms
0,me,2021-05-31T20:00:00Z,mrms
0,mm,2021-05-31T20:00:00Z,mrms
0,mw,2021-05-31T20:00:00Z,mrms
0,ue,2021-05-31T20:00:00Z,mrms
0,um,2021-05-31T20:00:00Z,mrms
0,uw,2021-05-31T20:00:00Z,mrms
0,me,2021-05-31T21:00:00Z,mrms
0,mm,2021-05-31T21:00:00Z,mrms
0,mw,2021-05-31T21:00:00Z,mrms
0,ue,2021-05-31T21:00:00Z,mrms
0,um,2021-05-31T21:00:00Z,mrms
0,uw,2021-05-31T21:00:00Z,mrms
0,me,2021-05-31T22:00:00Z,mrms
0,mm,2021-05-31T22:00:00Z,mrms
0,mw,2021-05-31T22:00:00Z,mrms
0,ue,2021-05-31T22:00:00Z,mrms
0,um,2021-05-31T22:00:00Z,mrms
0,uw,2021-05-31T22:00:00Z,mrms
0,me,2021-05-31T23:00:00Z,mrms
0,mm,2021-05-31T23:00:00Z,mrms
0,mw,2021-05-31T23:00:00Z,mrms
0,ue,2021-05-31T23:00:00Z,mrms
0,um,2021-05-31T23:00:00Z,mrms
0,uw,2021-05-31T23:00:00Z,mrms
0,me,2021-06-01T08:00:00Z,mrms
0,mm,2021-06-01T08:00:00Z,mrms
0,mw,2021-06-01T08:00:00Z,mrms
0,ue,2021-06-01T08:00:00Z,mrms
0,um,2021-06-01T08:00:00Z,mrms
0,uw,2021-06-01T08:00:00Z,mrms
0,me,2021-06-01T09:00:00Z,mrms
0,mm,2021-06-01T09:00:00Z,mrms
0,mw,2021-06-01T09:00:00Z,mrms
0,ue,2021-06-01T09:00:00Z,mrms
0,um,2021-06-01T09:00:00Z,mrms
0,uw,2021-06-01T09:00:00Z,mrms
0,me,2021-06-01T10:00:00Z,mrms
0,mm,2021-06-01T10:00:00Z,mrms
0,mw,2021-06-01T10:00:00Z,mrms
0,ue,2021-06-01T10:00:00Z,mrms
0,um,2021-06-01T10:00:00Z,mrms
0,uw,2021-06-01T10:00:00Z,mrms
1.17854613985863,me,2021-06-01T11:00:00Z,mrms
0.53547414890101,mm,2021-06-01T11:00:00Z,mrms
1.48931957247416,mw,2021-06-01T11:00:00Z,mrms
0.755233697738802,ue,2021-06-01T11:00:00Z,mrms
1.01563711767788,um,2021-06-01T11:00:00Z,mrms
2.03233971309083,uw,2021-06-01T11:00:00Z,mrms
0.333485652700797,me,2021-06-01T12:00:00Z,mrms
0.138026611072271,mm,2021-06-01T12:00:00Z,mrms
0.273902551483323,mw,2021-06-01T12:00:00Z,mrms
0.145946765666985,ue,2021-06-01T12:00:00Z,mrms
0.205631529156613,um,2021-06-01T12:00:00Z,mrms
0.310711597422952,uw,2021-06-01T12:00:00Z,mrms
0.541613218469207,me,2021-06-01T13:00:00Z,mrms
0.392333875818126,mm,2021-06-01T13:00:00Z,mrms
0.43974265251476,mw,2021-06-01T13:00:00Z,mrms
0.335853977087062,ue,2021-06-01T13:00:00Z,mrms
0.36767091888645,um,2021-06-01T13:00:00Z,mrms
0.478703768783354,uw,2021-06-01T13:00:00Z,mrms
1.54582080481356,me,2021-06-01T14:00:00Z,mrms
1.43406424595296,mm,2021-06-01T14:00:00Z,mrms
