"","event","P","start","end","duration","duration_hr","MI5","MI15","MI30","MI60","starttime","endtime","Site"
"1",1,6.604,1626696600,1626705480,8880,2.46666666666667,42.672,2.032,1.016,0.508,2021-07-19 12:10:00,2021-07-19 14:38:00,"me"
"2",2,1.016,1626802200,1626805260,3060,0.85,3.048,1.016,1.016,1.016,2021-07-20 17:30:00,2021-07-20 18:21:00,"me"
"3",3,7.112,1627038540,1627047180,8640,2.4,12.192,7.112,5.08,3.81,2021-07-23 11:09:00,2021-07-23 13:33:00,"me"
"4",5,1.016,1627708800,1627710840,2040,0.566666666666667,3.048,2.032,1.524,1.016,2021-07-31 05:20:00,2021-07-31 05:54:00,"me"
"5",6,4.318,1627737960,1627753500,15540,4.31666666666667,9.144,9.144,6.096,4.064,2021-07-31 13:26:00,2021-07-31 17:45:00,"me"
"6",7,1.016,1627927800,1627929480,1680,0.466666666666667,3.048,3.048,2.032,1.016,2021-08-02 18:10:00,2021-08-02 18:38:00,"me"
"7",8,22.606,1627982700,1628028660,45960,12.7666666666667,27.432,23.368,17.78,11.938,2021-08-03 09:25:00,2021-08-03 22:11:00,"me"
"8",9,6.096,1628273280,1628279640,6360,1.76666666666667,45.72,16.256,8.636,4.318,2021-08-06 18:08:00,2021-08-06 19:54:00,"me"
"9",11,5.588,1629295140,1629314580,19440,5.4,24.384,13.208,7.112,3.81,2021-08-18 13:59:00,2021-08-18 19:23:00,"me"
"10",13,3.556,1629391920,1629421140,29220,8.11666666666667,27.432,9.144,4.572,2.286,2021-08-19 16:52:00,2021-08-20 00:59:00,"me"
"11",15,3.556,1630517460,1630547700,30240,8.4,3.048,3.048,2.032,1.778,2021-09-01 17:31:00,2021-09-02 01:55:00,"me"
"12",16,2.286,1630603080,1630607160,4080,1.13333333333333,6.096,4.064,2.54,2.032,2021-09-02 17:18:00,2021-09-02 18:26:00,"me"
"13",17,4.318,1630666620,1630680660,14040,3.9,9.144,8.128,4.572,2.286,2021-09-03 10:57:00,2021-09-03 14:51:00,"me"
"14",18,5.842,1631430360,1631456640,26280,7.3,24.384,15.24,8.128,4.064,2021-09-12 07:06:00,2021-09-12 14:24:00,"me"
"15",19,5.842,1631566800,1631586360,19560,5.43333333333333,33.528,11.176,10.16,5.334,2021-09-13 21:00:00,2021-09-14 02:26:00,"me"
"16",20,3.302,1632093960,1632099960,6000,1.66666666666667,9.144,4.064,4.064,3.048,2021-09-19 23:26:00,2021-09-20 01:06:00,"me"
"17",22,8.128,1632899100,1632982560,83460,23.1833333333333,24.384,12.192,6.096,3.048,2021-09-29 07:05:00,2021-09-30 06:16:00,"me"
"18",23,3.048,1633706340,1633716060,9720,2.7,6.096,2.032,1.524,1.27,2021-10-08 15:19:00,2021-10-08 18:01:00,"me"
"19",26,5.08,1634117460,1634137740,20280,5.63333333333333,6.096,3.048,2.032,2.032,2021-10-13 09:31:00,2021-10-13 15:09:00,"me"
"20",27,1.016,1634214300,1634216040,1740,0.483333333333333,3.048,2.032,2.032,1.016,2021-10-14 12:25:00,2021-10-14 12:54:00,"me"
"21",29,1.524,1655377200,1655380860,3660,1.01666666666667,9.144,3.048,1.524,1.016,2022-06-16 11:00:00,2022-06-16 12:01:00,"me"
"22",30,2.032,1655485140,1655486760,1620,0.45,6.096,4.064,4.064,2.032,2022-06-17 16:59:00,2022-06-17 17:26:00,"me"
"23",32,4.572,1656249900,1656262560,12660,3.51666666666667,12.192,7.112,4.064,2.54,2022-06-26 13:25:00,2022-06-26 16:56:00,"me"
"24",34,3.048,1656702540,1656724380,21840,6.06666666666667,18.288,11.176,5.588,2.794,2022-07-01 19:09:00,2022-07-02 01:13:00,"me"
"25",35,1.778,1656870600,1656873720,3120,0.866666666666667,9.144,4.064,3.048,1.778,2022-07-03 17:50:00,2022-07-03 18:42:00,"me"
"26",36,8.128,1657020420,1657056780,36360,10.1,12.192,8.128,6.604,3.81,2022-07-05 11:27:00,2022-07-05 21:33:00,"me"
"27",37,4.318,1657084320,1657091580,7260,2.01666666666667,9.144,6.096,5.588,3.81,2022-07-06 05:12:00,2022-07-06 07:13:00,"me"
"28",38,5.334,1657116960,1657129020,12060,3.35,30.48,19.304,10.16,5.08,2022-07-06 14:16:00,2022-07-06 17:37:00,"me"
"29",39,2.54,1657190220,1657190880,660,0.183333333333333,15.24,10.16,5.08,2.54,2022-07-07 10:37:00,2022-07-07 10:48:00,"me"
